epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5407,2.85805,3.91519,1.9411,0.00392,0.32867,0.00365,0.00076,2.4789,3.80486,1.84242,0.00018,0.00018,0.00018
2,37.2199,2.43898,2.39476,1.55915,0.01108,0.93007,0.04383,0.01263,1.99128,3.31374,1.45796,0.000364952,0.000364952,0.000364952
3,47.3358,2.24106,1.83021,1.50209,0.00717,0.6014,0.02345,0.00526,2.0337,3.40942,1.56224,0.000534064,0.000534064,0.000534064
4,55.1332,2.13483,1.54659,1.49434,0.01133,0.95105,0.04733,0.01109,1.86903,3.22423,1.44799,0.000687336,0.000687336,0.000687336
5,63.1642,2.04393,1.57974,1.43147,0.01167,0.97902,0.39719,0.1038,1.79524,3.18023,1.27086,0.000824768,0.000824768,0.000824768
6,73.3147,1.99932,1.50562,1.38099,0.79649,0.4965,0.59225,0.20113,1.84631,2.63938,1.31656,0.00094636,0.00094636,0.00094636
7,82.4995,2.04145,1.45559,1.37164,0.70978,0.3007,0.38089,0.11005,2.0341,2.83622,1.41911,0.00105211,0.00105211,0.00105211
8,91.6581,1.99458,1.33587,1.37649,0.54393,0.3007,0.49761,0.16743,1.92374,2.40951,1.45246,0.00114202,0.00114202,0.00114202
9,101.544,2.00431,1.38114,1.37309,0.59448,0.36906,0.53125,0.18353,1.97035,2.35705,1.44276,0.0012161,0.0012161,0.0012161
10,110.327,1.95088,1.25449,1.31831,0.82957,0.86713,0.85343,0.34996,1.90945,1.86617,1.36591,0.00127433,0.00127433,0.00127433
11,119.573,1.97973,1.22055,1.32604,0.75718,0.80683,0.78941,0.2816,1.96359,1.84048,1.41635,0.001208,0.001208,0.001208
12,129.502,1.96365,1.18858,1.33283,0.90918,0.91005,0.93342,0.39965,1.92685,1.36863,1.42798,0.0011288,0.0011288,0.0011288
13,138.078,1.9565,1.22504,1.30608,0.87683,0.94406,0.90083,0.34551,1.93724,1.38564,1.43617,0.0010496,0.0010496,0.0010496
14,147.757,1.92729,1.19985,1.32545,0.88475,0.92308,0.9257,0.35005,2.03175,1.19438,1.59897,0.0009704,0.0009704,0.0009704
15,157.488,1.91781,1.18551,1.32662,0.91127,0.92308,0.93338,0.36758,2.00516,1.15746,1.56574,0.0008912,0.0008912,0.0008912
16,184.244,1.94479,1.41492,1.41297,0.83793,0.84615,0.92815,0.37095,1.93233,1.44141,1.47101,0.000812,0.000812,0.000812
17,196.036,1.90743,1.3664,1.39906,0.87228,0.85969,0.894,0.38849,1.9857,1.28238,1.47753,0.0007328,0.0007328,0.0007328
18,204.651,1.87939,1.26086,1.3627,0.86605,0.85903,0.86054,0.32383,2.08606,1.21438,1.56017,0.0006536,0.0006536,0.0006536
19,215.78,1.86678,1.18145,1.35146,0.83429,0.8042,0.78999,0.29345,2.13738,1.28898,1.56798,0.0005744,0.0005744,0.0005744
20,226.272,1.84747,1.19387,1.32491,0.82107,0.85315,0.84323,0.32673,2.16884,1.20925,1.62333,0.0004952,0.0004952,0.0004952
21,234.362,1.83573,1.15155,1.35626,0.82914,0.85315,0.86519,0.36094,2.06887,1.13362,1.55836,0.000416,0.000416,0.000416
22,243.362,1.82117,1.14526,1.35911,0.92836,0.90625,0.91354,0.37665,2.04806,1.11191,1.55252,0.0003368,0.0003368,0.0003368
23,250.834,1.81504,1.09866,1.3493,0.90047,0.88572,0.89319,0.37048,2.05235,1.09555,1.5584,0.0002576,0.0002576,0.0002576
24,261.873,1.79347,1.09686,1.32847,0.92104,0.92308,0.9249,0.40009,1.98143,1.05975,1.51291,0.0001784,0.0001784,0.0001784
25,269.377,1.77937,1.05169,1.35382,0.92853,0.93007,0.93415,0.39934,1.98248,1.05503,1.51244,9.92e-05,9.92e-05,9.92e-05
